product_id,product_name,category,brand,base_price,cost
PR-0067,Товар 0067,Электроника,Alpha,4984.39,3416.49
PR-0068,Товар 0068,Одежда,Gamma,5609.85,3555.66
PR-0069,Товар 0069,Электроника,Omega,12968.73,6815.24
PR-0070,Товар 0070,Одежда,Delta,3510.42,2141.04
PR-0071,Товар 0071,Бытовая техника,Omega,11858.64,8703.53
PR-0072,Товар 0072,Спорт,Beta,7376.79,4410.84
PR-0073,Товар 0073,Бытовая техника,Omega,18819.81,10674.42
PR-0074,Товар 0074,Спорт,Delta,3334.63,1808.55
PR-0075,Товар 0075,Электроника,Alpha,9236.84,4661.68
PR-0076,Товар 0076,Товары для дома,Gamma,2434.01,1760.05
PR-0077,Товар 0077,Бытовая техника,Delta,10868.72,5450.76
PR-0078,Товар 0078,Электроника,Beta,8007.72,3734.68
PR-0079,Товар 0079,Товары для дома,Delta,2522.04,1242.91
PR-0080,Товар 0080,Бытовая техника,Gamma,12885.09,6503.73
PR-0081,Товар 0081,Одежда,Delta,3442.37,1987.78
PR-0082,Товар 0082,Товары для дома,Delta,3908.74,2825.6
PR-0083,Товар 0083,Одежда,Beta,2296.28,1126.2
PR-0084,Товар 0084,Электроника,Alpha,11376.59,5618.35
PR-0085,Товар 0085,Спорт,Omega,2806.86,1631.35
PR-0086,Товар 0086,Косметика,Omega,1949.21,1405.64
PR-0087,Товар 0087,Товары для дома,Omega,3549.45,2584.5
PR-0088,Товар 0088,Товары для дома,Alpha,3117.82,2292.37
PR-0089,Товар 0089,Товары для дома,Delta,2312.1,1128.45
PR-0090,Товар 0090,Одежда,Alpha,3518.97,2328.37
PR-0091,Товар 0091,Электроника,Gamma,13415.56,8642.47
PR-0092,Товар 0092,Товары для дома,Omega,2061.55,946.55
PR-0093,Товар 0093,Товары для дома,Beta,3115.56,2030.38
PR-0094,Товар 0094,Косметика,Beta,2408.0,1587.11
PR-0095,Товар 0095,Товары для дома,Gamma,2246.9,1453.74
PR-0096,Товар 0096,Электроника,Gamma,13662.73,7032.34
PR-0097,Товар 0097,Бытовая техника,Alpha,20707.55,11383.11
PR-0098,Товар 0098,Электроника,Beta,11754.74,7242.43
PR-0099,Товар 0099,Косметика,Omega,2490.58,1224.18
PR-0100,Товар 0100,Одежда,Alpha,1263.85,628.93
PR-0101,Товар 0101,Электроника,Beta,4570.25,3014.65
PR-0102,Товар 0102,Одежда,Delta,3105.42,1551.82
PR-0103,Товар 0103,Бытовая техника,Beta,9237.44,4203.09
PR-0104,Товар 0104,Одежда,Delta,3900.98,1972.06
PR-0105,Товар 0105,Бытовая техника,Beta,250.0,118.16
PR-0106,Товар 0106,Электроника,Alpha,10342.74,5529.75
PR-0107,Товар 0107,Одежда,Omega,3003.17,2036.45
PR-0108,Товар 0108,Бытовая техника,Delta,9724.45,6669.3
PR-0109,Товар 0109,Одежда,Beta,5335.39,2515.13
PR-0110,Товар 0110,Бытовая техника,Alpha,10706.12,6649.42
PR-0111,Товар 0111,Спорт,Gamma,1953.6,930.72
PR-0112,Товар 0112,Электроника,Delta,9859.46,4990.13
PR-0113,Товар 0113,Бытовая техника,Delta,13605.12,9323.1
PR-0114,Товар 0114,Товары для дома,Delta,2441.72,1810.78
PR-0115,Товар 0115,Бытовая техника,Gamma,21875.43,11626.48
PR-0116,Товар 0116,Одежда,Omega,3435.31,2346.42
PR-0117,Товар 0117,Товары для дома,Alpha,3523.46,1947.12
PR-0118,Товар 0118,Электроника,Omega,9461.13,6484.36
PR-0119,Товар 0119,Спорт,Omega,6501.14,4037.73
PR-0120,Товар 0120,Одежда,Omega,2829.42,1736.97
PR-0121,Товар 0121,Товары для дома,Beta,1632.29,1130.58
PR-0122,Товар 0122,Спорт,Omega,5706.04,3759.43
PR-0123,Товар 0123,Товары для дома,Omega,2872.34,2129.05
PR-0124,Товар 0124,Бытовая техника,Omega,15339.93,8571.97
PR-0125,Товар 0125,Одежда,Beta,2509.28,1848.12
PR-0126,Товар 0126,Одежда,Delta,3737.81,2610.09
PR-0127,Товар 0127,Одежда,Omega,1414.41,845.9
PR-0128,Товар 0128,Товары для дома,Alpha,2163.39,1298.57
PR-0129,Товар 0129,Бытовая техника,Beta,9040.44,6514.42
PR-0130,Товар 0130,Одежда,Delta,3755.48,2351.8
PR-0131,Товар 0131,Косметика,Omega,1494.94,824.22
PR-0132,Товар 0132,Бытовая техника,Delta,6234.13,2882.74
PR-0133,Товар 0133,Косметика,Gamma,1442.01,778.52
PR-0134,Товар 0134,Электроника,Omega,10280.5,5296.54
PR-0135,Товар 0135,Косметика,Beta,1882.58,920.03
PR-0136,Товар 0136,Электроника,Delta,6283.38,4095.42
PR-0137,Товар 0137,Товары для дома,Omega,3363.68,1912.96
PR-0138,Товар 0138,Электроника,Beta,13157.09,6293.95
PR-0139,Товар 0139,Косметика,Alpha,2372.56,1300.39
PR-0140,Товар 0140,Одежда,Alpha,615.61,302.95
PR-0141,Товар 0141,Одежда,Delta,3465.61,2181.89
PR-0142,Товар 0142,Косметика,Beta,1710.64,988.88
PR-0143,Товар 0143,Товары для дома,Delta,747.47,545.85
PR-0144,Товар 0144,Электроника,Gamma,4661.02,2948.67
PR-0145,Товар 0145,Косметика,Omega,2303.41,1565.29
PR-0146,Товар 0146,Одежда,Delta,3407.95,1876.13
PR-0147,Товар 0147,Косметика,Gamma,1850.8,1251.78
PR-0148,Товар 0148,Товары для дома,Beta,2008.42,1346.51
PR-0149,Товар 0149,Косметика,Beta,2481.84,1854.6
PR-0150,Товар 0150,Электроника,Beta,4841.34,3138.89
PR-0151,Товар 0151,Одежда,Alpha,2205.52,1598.66
PR-0152,Товар 0152,Одежда,Beta,2844.11,2019.53
PR-0153,Товар 0153,Электроника,Omega,3960.94,2874.13
PR-0154,Товар 0154,Косметика,Omega,1244.55,774.05
PR-0155,Товар 0155,Косметика,Beta,2468.79,1276.85
PR-0156,Товар 0156,Товары для дома,Beta,1831.7,1145.74
PR-0157,Товар 0157,Электроника,Delta,10823.11,7863.01
PR-0158,Товар 0158,Косметика,Alpha,2200.02,1632.21
PR-0159,Товар 0159,Бытовая техника,Delta,11292.57,8287.05
PR-0160,Товар 0160,Электроника,Gamma,4278.67,2491.59
PR-0161,Товар 0161,Одежда,Delta,3271.02,2261.26
PR-0162,Товар 0162,Одежда,Alpha,835.89,498.67
PR-0163,Товар 0163,Одежда,Omega,2607.63,1714.56
PR-0164,Товар 0164,Товары для дома,Delta,2821.36,1634.87
PR-0165,Товар 0165,Электроника,Alpha,11086.89,5995.47
PR-0166,Товар 0166,Одежда,Omega,3030.04,1765.24
PR-0167,Товар 0167,Бытовая техника,Alpha,9446.54,5120.91
PR-0168,Товар 0168,Электроника,Alpha,6453.14,3723.16
PR-0169,Товар 0169,Бытовая техника,Delta,10033.14,6554.71
PR-0170,Товар 0170,Косметика,Omega,2193.2,1119.03
PR-0171,Товар 0171,Одежда,Alpha,3592.1,2345.7
PR-0172,Товар 0172,Одежда,Delta,3175.34,1499.03
PR-0173,Товар 0173,Одежда,Omega,3905.64,1759.4
PR-0174,Товар 0174,Бытовая техника,Alpha,12002.24,6240.13
PR-0175,Товар 0175,Электроника,Alpha,4528.84,2312.92
PR-0176,Товар 0176,Косметика,Beta,1100.5,770.29
PR-0177,Товар 0177,Товары для дома,Beta,3147.53,2130.29
PR-0178,Товар 0178,Товары для дома,Beta,1349.67,877.18
PR-0179,Товар 0179,Бытовая техника,Delta,10399.9,6883.45
PR-0180,Товар 0180,Одежда,Beta,3072.15,1993.5
PR-0181,Товар 0181,Одежда,Gamma,2042.64,1425.63
PR-0182,Товар 0182,Товары для дома,Beta,1082.36,660.42
PR-0183,Товар 0183,Электроника,Beta,5005.06,2278.77
PR-0184,Товар 0184,Электроника,Omega,3116.05,2209.27
PR-0185,Товар 0185,Спорт,Beta,5463.32,3229.52
PR-0186,Товар 0186,Электроника,Beta,9682.48,7053.96
PR-0187,Товар 0187,Спорт,Beta,3303.59,2371.65
PR-0188,Товар 0188,Косметика,Omega,938.57,534.8
PR-0189,Товар 0189,Одежда,Omega,4506.25,3289.21
PR-0190,Товар 0190,Электроника,Gamma,9810.03,4586.93
PR-0191,Товар 0191,Товары для дома,Gamma,2034.86,1320.01
PR-0192,Товар 0192,Электроника,Gamma,12031.69,7874.11
PR-0193,Товар 0193,Одежда,Gamma,3354.12,2354.72
PR-0194,Товар 0194,Электроника,Delta,9446.09,5586.73
PR-0195,Товар 0195,Электроника,Alpha,5400.13,2819.78
PR-0196,Товар 0196,Косметика,Omega,844.77,391.34
PR-0197,Товар 0197,Электроника,Delta,3829.04,2259.85
PR-0198,Товар 0198,Косметика,Omega,3112.31,1823.76
PR-0199,Товар 0199,Косметика,Gamma,1278.63,712.09
PR-0200,Товар 0200,Одежда,Alpha,3272.99,2097.75
PR-0201,Товар 0201,Косметика,Beta,2089.56,1273.41
PR-0202,Товар 0202,Бытовая техника,Beta,11912.54,5773.61
PR-0203,Товар 0203,Товары для дома,Delta,2459.63,1142.34
PR-0204,Товар 0204,Электроника,Alpha,7974.77,5719.51
PR-0205,Товар 0205,Косметика,Alpha,2102.37,1414.16
PR-0206,Товар 0206,Товары для дома,Alpha,1653.78,974.01
PR-0207,Товар 0207,Товары для дома,Delta,2199.11,1316.86
PR-0208,Товар 0208,Электроника,Alpha,1646.38,797.4
PR-0209,Товар 0209,Бытовая техника,Delta,4175.2,2208.91
PR-0210,Товар 0210,Товары для дома,Delta,1418.78,989.5
PR-0211,Товар 0211,Товары для дома,Gamma,3376.91,1647.6
PR-0212,Товар 0212,Косметика,Alpha,1628.2,783.63
PR-0213,Товар 0213,Электроника,Alpha,10574.79,6529.31
PR-0214,Товар 0214,Одежда,Omega,3631.07,2549.35
PR-0215,Товар 0215,Спорт,Delta,4909.65,2767.75
PR-0216,Товар 0216,Электроника,Delta,5691.34,3663.87
PR-0217,Товар 0217,Товары для дома,Omega,2668.19,1922.82
PR-0218,Товар 0218,Одежда,Gamma,3485.02,2500.07
PR-0219,Товар 0219,Товары для дома,Omega,4602.62,2717.21
PR-0220,Товар 0220,Электроника,Gamma,7470.61,4024.23
PR-0221,Товар 0221,Электроника,Omega,10678.35,6642.1
PR-0222,Товар 0222,Бытовая техника,Delta,11479.71,8348.73
PR-0223,Товар 0223,Товары для дома,Beta,1960.95,1282.97
PR-0224,Товар 0224,Косметика,Alpha,2347.81,1729.28
PR-0225,Товар 0225,Косметика,Omega,2991.7,1866.07
PR-0226,Товар 0226,Спорт,Beta,4912.66,2241.97
PR-0227,Товар 0227,Бытовая техника,Omega,9131.26,5336.1
PR-0228,Товар 0228,Товары для дома,Alpha,3025.42,2181.27
PR-0229,Товар 0229,Электроника,Gamma,9331.29,4293.6
PR-0230,Товар 0230,Электроника,Alpha,15094.1,9590.76
PR-0231,Товар 0231,Одежда,Alpha,4031.23,2271.11
PR-0232,Товар 0232,Спорт,Gamma,3029.6,1730.17
PR-0233,Товар 0233,Косметика,Gamma,2603.06,1614.6
PR-0234,Товар 0234,Электроника,Beta,10806.7,6197.35
PR-0235,Товар 0235,Спорт,Beta,5973.25,4336.83
PR-0236,Товар 0236,Товары для дома,Beta,3004.85,1625.95
PR-0237,Товар 0237,Товары для дома,Beta,3517.55,2384.14
PR-0238,Товар 0238,Одежда,Delta,3693.5,1764.1
PR-0239,Товар 0239,Одежда,Beta,2915.1,1602.88
PR-0240,Товар 0240,Электроника,Delta,8899.3,4426.17
PR-0241,Товар 0241,Косметика,Delta,1726.95,891.02
PR-0242,Товар 0242,Электроника,Beta,9515.62,5893.49
PR-0243,Товар 0243,Одежда,Alpha,3288.98,1817.53
PR-0244,Товар 0244,Одежда,Alpha,2847.67,1323.1
PR-0245,Товар 0245,Косметика,Gamma,1685.59,1195.12
PR-0246,Товар 0246,Товары для дома,Alpha,2596.72,1694.67
PR-0247,Товар 0247,Одежда,Alpha,1205.19,887.7
PR-0248,Товар 0248,Одежда,Gamma,4347.36,3000.26
PR-0249,Товар 0249,Электроника,Beta,9535.09,5890.89
PR-0250,Товар 0250,Бытовая техника,Gamma,9431.75,5546.93
PR-0251,Товар 0251,Электроника,Delta,10258.8,7529.79
PR-0252,Товар 0252,Электроника,Delta,6988.37,4033.65
PR-0253,Товар 0253,Одежда,Beta,2630.88,1613.97
PR-0254,Товар 0254,Одежда,Alpha,3619.59,1991.21
PR-0255,Товар 0255,Спорт,Alpha,6753.23,3607.51
PR-0256,Товар 0256,Электроника,Omega,9332.63,6567.06
PR-0257,Товар 0257,Электроника,Alpha,6191.77,3245.13
PR-0258,Товар 0258,Товары для дома,Beta,2279.85,1124.45
PR-0259,Товар 0259,Электроника,Omega,11025.92,7369.85
PR-0260,Товар 0260,Косметика,Beta,2054.7,1443.11
PR-0261,Товар 0261,Товары для дома,Alpha,3473.12,2529.53
PR-0262,Товар 0262,Косметика,Omega,2047.88,1331.34
PR-0263,Товар 0263,Бытовая техника,Delta,15237.49,8449.4
PR-0264,Товар 0264,Электроника,Omega,14488.66,8739.61
PR-0265,Товар 0265,Спорт,Delta,2370.1,1198.99
PR-0266,Товар 0266,Товары для дома,Gamma,4790.5,2460.55
PR-0267,Товар 0267,Товары для дома,Delta,3452.21,2481.72
PR-0268,Товар 0268,Электроника,Alpha,16309.29,11492.36
PR-0269,Товар 0269,Одежда,Alpha,2098.76,1120.09
PR-0270,Товар 0270,Косметика,Gamma,2040.94,1151.35
PR-0271,Товар 0271,Электроника,Gamma,8974.15,6619.67
PR-0272,Товар 0272,Спорт,Delta,5891.58,3344.03
PR-0273,Товар 0273,Спорт,Omega,5239.86,2872.67
PR-0274,Товар 0274,Электроника,Beta,9564.26,4879.54
PR-0275,Товар 0275,Электроника,Beta,10817.29,6190.7
PR-0276,Товар 0276,Бытовая техника,Alpha,11551.4,6458.23
PR-0277,Товар 0277,Одежда,Omega,2622.27,1758.08
PR-0278,Товар 0278,Одежда,Gamma,3707.64,2054.39
PR-0279,Товар 0279,Косметика,Beta,1473.78,865.84
PR-0280,Товар 0280,Одежда,Delta,3059.4,1671.68
PR-0281,Товар 0281,Электроника,Gamma,4212.7,2299.34
PR-0282,Товар 0282,Бытовая техника,Gamma,12234.89,6427.82
PR-0283,Товар 0283,Одежда,Omega,2159.92,1294.73
PR-0284,Товар 0284,Одежда,Beta,3163.07,1830.49
PR-0285,Товар 0285,Спорт,Delta,2789.51,1303.46
PR-0286,Товар 0286,Электроника,Omega,8442.49,6155.97
PR-0287,Товар 0287,Товары для дома,Omega,3418.73,1896.16
PR-0288,Товар 0288,Бытовая техника,Omega,9497.47,6432.29
PR-0289,Товар 0289,Косметика,Beta,1212.03,875.18
PR-0290,Товар 0290,Бытовая техника,Delta,15282.89,6929.55
PR-0291,Товар 0291,Бытовая техника,Gamma,15835.76,7711.93
PR-0292,Товар 0292,Одежда,Alpha,3674.79,1863.72
PR-0293,Товар 0293,Товары для дома,Gamma,2176.44,1557.77
PR-0294,Товар 0294,Электроника,Beta,6626.68,4066.8
PR-0295,Товар 0295,Бытовая техника,Gamma,10607.76,5763.01
PR-0296,Товар 0296,Одежда,Delta,3133.74,1451.66
PR-0297,Товар 0297,Косметика,Delta,712.98,328.43
PR-0298,Товар 0298,Электроника,Delta,5575.13,3474.72
PR-0299,Товар 0299,Электроника,Gamma,12221.34,8077.54
PR-0300,Товар 0300,Косметика,Gamma,1930.68,1092.13
PR-0301,Товар 0301,Бытовая техника,Omega,17153.32,9198.93
PR-0302,Товар 0302,Электроника,Beta,11521.64,7972.59
PR-0303,Товар 0303,Бытовая техника,Beta,10687.69,7584.66
PR-0304,Товар 0304,Косметика,Omega,1612.67,911.23
PR-0305,Товар 0305,Спорт,Omega,6022.34,4061.81
PR-0306,Товар 0306,Товары для дома,Beta,3290.37,2338.91
PR-0307,Товар 0307,Товары для дома,Omega,3498.55,1973.78
PR-0308,Товар 0308,Косметика,Omega,1791.48,892.55
PR-0309,Товар 0309,Бытовая техника,Omega,12598.84,7061.97
PR-0310,Товар 0310,Спорт,Gamma,4097.49,1920.34
PR-0311,Товар 0311,Электроника,Delta,8340.93,3842.43
PR-0312,Товар 0312,Товары для дома,Delta,1976.06,1378.24
PR-0313,Товар 0313,Бытовая техника,Alpha,11685.9,8248.26
PR-0314,Товар 0314,Косметика,Alpha,1699.19,1094.62
PR-0315,Товар 0315,Спорт,Omega,3777.48,2670.74
PR-0316,Товар 0316,Товары для дома,Beta,3319.94,2425.68
PR-0317,Товар 0317,Товары для дома,Alpha,1316.68,863.65
PR-0318,Товар 0318,Товары для дома,Omega,2907.07,2103.24
PR-0319,Товар 0319,Одежда,Beta,2167.71,1573.48
PR-0320,Товар 0320,Одежда,Delta,2250.41,1197.98
PR-0321,Товар 0321,Одежда,Delta,2346.4,1724.56
PR-0322,Товар 0322,Бытовая техника,Gamma,13977.52,10415.4
PR-0323,Товар 0323,Одежда,Delta,671.45,358.51
PR-0324,Товар 0324,Электроника,Gamma,9001.88,5745.32
PR-0325,Товар 0325,Товары для дома,Gamma,2641.36,1363.1
PR-0326,Товар 0326,Товары для дома,Alpha,1717.15,975.56
PR-0327,Товар 0327,Электроника,Alpha,9042.08,5761.77
PR-0328,Товар 0328,Косметика,Delta,1035.65,477.68
PR-0329,Товар 0329,Товары для дома,Omega,2560.17,1648.56
PR-0330,Товар 0330,Товары для дома,Alpha,1461.6,870.84
PR-0331,Товар 0331,Бытовая техника,Beta,20611.41,10040.47
PR-0332,Товар 0332,Косметика,Beta,2342.69,1535.34
PR-0333,Товар 0333,Бытовая техника,Alpha,13035.16,9551.39
PR-0334,Товар 0334,Товары для дома,Gamma,1730.79,780.02
PR-0335,Товар 0335,Товары для дома,Omega,2349.27,1365.69
PR-0336,Товар 0336,Электроника,Delta,7803.28,3806.77
PR-0337,Товар 0337,Бытовая техника,Omega,13015.98,6665.51
PR-0338,Товар 0338,Электроника,Gamma,9685.69,5787.02
PR-0339,Товар 0339,Одежда,Delta,3451.86,1855.0
PR-0340,Товар 0340,Электроника,Omega,9518.36,6136.96
PR-0341,Товар 0341,Товары для дома,Gamma,2445.44,1294.15
PR-0342,Товар 0342,Одежда,Delta,3583.56,2447.12
PR-0343,Товар 0343,Одежда,Alpha,2485.51,1255.29
PR-0344,Товар 0344,Товары для дома,Omega,1632.22,1178.74
PR-0345,Товар 0345,Косметика,Omega,2964.16,1689.71
PR-0346,Товар 0346,Бытовая техника,Gamma,13747.23,6414.98
PR-0347,Товар 0347,Товары для дома,Alpha,4243.54,2036.54
PR-0348,Товар 0348,Косметика,Beta,1626.91,992.23
PR-0349,Товар 0349,Электроника,Beta,15671.88,11335.63
PR-0350,Товар 0350,Электроника,Omega,8736.82,5282.31
PR-0351,Товар 0351,Товары для дома,Alpha,3642.82,2131.25
PR-0352,Товар 0352,Электроника,Alpha,8597.74,5862.28
PR-0353,Товар 0353,Электроника,Omega,8990.64,4657.5
PR-0354,Товар 0354,Одежда,Omega,3070.98,2005.32
PR-0355,Товар 0355,Спорт,Beta,3723.84,1919.57
PR-0356,Товар 0356,Косметика,Alpha,2417.55,1700.99
PR-0357,Товар 0357,Товары для дома,Omega,2591.94,1851.68
PR-0358,Товар 0358,Бытовая техника,Omega,15487.83,7873.6
PR-0359,Товар 0359,Товары для дома,Delta,3422.45,1687.51
PR-0360,Товар 0360,Одежда,Delta,4784.06,3190.98
PR-0361,Товар 0361,Спорт,Omega,5163.34,3334.77
PR-0362,Товар 0362,Одежда,Delta,1507.71,959.65
PR-0363,Товар 0363,Косметика,Alpha,1598.27,963.46
PR-0364,Товар 0364,Спорт,Delta,4460.31,2179.83
PR-0365,Товар 0365,Спорт,Alpha,4519.55,3009.31
PR-0366,Товар 0366,Электроника,Alpha,12422.23,6194.94
PR-0367,Товар 0367,Бытовая техника,Gamma,16772.15,10278.85
PR-0368,Товар 0368,Косметика,Beta,1708.7,946.6
PR-0369,Товар 0369,Электроника,Gamma,15729.53,8643.29
PR-0370,Товар 0370,Бытовая техника,Beta,10534.89,7371.04
PR-0371,Товар 0371,Электроника,Omega,7703.62,4520.98
PR-0372,Товар 0372,Одежда,Omega,1976.51,1182.03
PR-0373,Товар 0373,Косметика,Omega,817.73,587.83
PR-0374,Товар 0374,Электроника,Gamma,4989.28,3081.05
PR-0375,Товар 0375,Одежда,Gamma,4335.17,2992.96
PR-0376,Товар 0376,Одежда,Alpha,4030.48,2857.05
PR-0377,Товар 0377,Спорт,Omega,3108.41,2047.06
PR-0378,Товар 0378,Электроника,Beta,8797.14,4338.83
PR-0379,Товар 0379,Товары для дома,Beta,3333.89,1619.53
PR-0380,Товар 0380,Спорт,Omega,1297.44,752.86
PR-0381,Товар 0381,Одежда,Omega,5184.88,2431.48
PR-0382,Товар 0382,Косметика,Omega,2463.1,1330.6
PR-0383,Товар 0383,Электроника,Alpha,10911.28,5592.48
PR-0384,Товар 0384,Бытовая техника,Omega,17048.74,7869.6
PR-0385,Товар 0385,Электроника,Gamma,2426.42,1382.43
PR-0386,Товар 0386,Одежда,Alpha,2955.2,1550.66
PR-0387,Товар 0387,Спорт,Alpha,6481.93,3115.11
PR-0388,Товар 0388,Электроника,Delta,8479.09,5673.27
PR-0389,Товар 0389,Одежда,Omega,4031.8,2918.11
PR-0390,Товар 0390,Косметика,Gamma,2712.35,1725.67
PR-0391,Товар 0391,Одежда,Delta,3988.06,2906.48
PR-0392,Товар 0392,Одежда,Delta,2911.37,1455.5
PR-0393,Товар 0393,Одежда,Gamma,3844.79,2616.1
PR-0394,Товар 0394,Косметика,Omega,747.27,427.87
PR-0395,Товар 0395,Электроника,Beta,9958.8,5944.0
PR-0396,Товар 0396,Одежда,Beta,4039.59,2622.85
PR-0397,Товар 0397,Одежда,Gamma,3369.06,2308.02
PR-0398,Товар 0398,Электроника,Gamma,11955.55,5594.55
PR-0399,Товар 0399,Одежда,Beta,3512.06,1989.42
PR-0400,Товар 0400,Одежда,Beta,3364.59,2286.22
PR-0401,Товар 0401,Косметика,Beta,2954.37,1803.6
PR-0402,Товар 0402,Одежда,Gamma,2127.22,1175.3
PR-0403,Товар 0403,Одежда,Delta,4759.19,2199.5
PR-0404,Товар 0404,Товары для дома,Beta,3794.8,1716.04
PR-0405,Товар 0405,Бытовая техника,Delta,15550.24,8980.74
PR-0406,Товар 0406,Одежда,Beta,2746.95,1634.65
PR-0407,Товар 0407,Одежда,Alpha,3583.82,1859.14
PR-0408,Товар 0408,Одежда,Beta,2299.19,1586.18
PR-0409,Товар 0409,Товары для дома,Omega,2088.48,1393.09
PR-0410,Товар 0410,Косметика,Beta,1882.81,953.56
PR-0411,Товар 0411,Электроника,Delta,5871.23,2973.18
PR-0412,Товар 0412,Одежда,Gamma,2938.67,2084.85
PR-0413,Товар 0413,Электроника,Delta,5221.54,3789.5
PR-0414,Товар 0414,Косметика,Delta,2211.34,1648.26
PR-0415,Товар 0415,Спорт,Omega,7074.91,4640.55
PR-0416,Товар 0416,Косметика,Omega,3184.06,2320.15
PR-0417,Товар 0417,Бытовая техника,Beta,7659.22,3787.87
PR-0418,Товар 0418,Электроника,Beta,5947.98,2954.44
PR-0419,Товар 0419,Бытовая техника,Beta,11790.11,5452.47
PR-0420,Товар 0420,Одежда,Delta,4121.02,2520.24
PR-0421,Товар 0421,Товары для дома,Gamma,2516.28,1299.36
PR-0422,Товар 0422,Одежда,Omega,4406.85,2735.08
PR-0423,Товар 0423,Спорт,Delta,5517.63,2495.65
